Grassland Reserve Program (GRP)  Report 

Financial Information

This program does not include Reimbursable funds.

GRP Total Obligations by Fiscal Year
In thousands of dollars

Division, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022,
New York ,           33.5,          122.3,          180.9,           68.3,           24.4,            0.3,            4.5,            5.1,            1.6, ,,,,,
North Carolina ,           26.9,            2.9,           10.6,           21.5,           21.2,            0.3,            0.4,            0.2, ,           1.6, ,,,,
North Dakota ,           78.7,           86.0,          124.0,           67.9,            9.1,            0.4,            0.5,            0.2,            3.5,            5.4, ,,,,
Ohio ,           69.9,          130.1,          161.3,           33.0,           12.2,            0.3,            0.4,            0.2, ,,,,,,
Oklahoma ,          152.5,          179.0,          225.0,           77.6,          114.7,           12.6,           60.6,           14.2, ,,,,,,
Oregon ,           46.7,           49.3,           60.6,         -174.3,           73.7,           18.2,            0.8,            0.3, ,           1.5, ,,,,
Pennsylvania ,           56.9,          133.0,           89.0,           65.4,           83.5,            3.0,            0.3,            1.2,            4.6,            3.4,          174.2,            7.1,           69.9, ,
Rhode Island ,            4.7,            0.1,           21.2,           27.7,           44.8,            1.1,           18.5,            1.0,            1.1,            0.9,           -0.2, ,,,
South Carolina ,           25.5,           40.3,           51.7,           44.4,          346.1,           53.4,           37.6,            1.1,            2.1, ,,,,,
South Dakota ,          137.2,          301.6,          606.8,          325.4,          170.5,           89.6,           84.9,           43.5,            8.0,           25.1, ,,,,
Tennessee ,           83.8,           99.2,          123.0,           38.6,           79.1,           59.4,            5.0,            1.0,           11.5,            7.4,            3.3, ,,,
Texas ,          333.5,          771.0,         1460.3,         1361.8,          799.5,          157.8,          133.9,           33.5,           33.5,           18.2,           -3.8, ,,,
Utah ,           35.3,           36.4,          228.3,          147.1,          268.4,           58.9,            0.4,           15.3,           38.0,           43.5, ,           1.2, ,,
Vermont ,           16.4,           95.6,           23.4,           75.1,           15.8,            0.1,            0.1,            2.8,            1.0,            1.1, ,,,,
Virginia ,           53.9,          173.5,          196.8,           77.9,           68.4,           37.6,           16.8,            7.4,          108.7,            7.3, ,,,,
Washington ,           69.8,           65.0,           58.8,           43.9,           68.2,            0.5,            8.9,           11.6,            4.7,            7.1, ,,,,
West Virginia ,           32.9,          285.9,           80.4,           44.3,           52.8,           25.2,           26.3,            6.7,            6.1,            5.4, ,,,,
Wisconsin ,           67.2,           61.4,           88.8,          190.6,          104.6,           13.9,            0.9,            0.2,           14.5,           13.5, ,,,,
Wyoming ,           67.2,          217.6,         1164.4,          449.9,          424.7,           21.0,           33.7,          -10.7,           27.9,            9.7,           25.7,            1.5, ,,
Other,        44426.6,        93438.7,        64930.0,        58261.9,        57800.9,          139.7,         5983.4,         1135.0,         4369.9,         1080.8,           24.4,         5519.6,         6750.3,         4337.0,
Total,        47658.1,       100108.4,        77944.7,        65264.4,        62857.9,         1452.4,         6950.8,         1758.6,         4955.2,         1461.9,          221.8,         5579.9,         6824.3,         4337.0,

GRP Technical Assistance Obligations by Fiscal Year
In thousands of dollars

Division, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022,
Alabama ,           33.3,           62.3,           62.8,           31.0,           41.0,            1.0,           17.0,           20.8,            3.4,            1.0, ,,,,
Alaska ,            9.7,           22.2,            8.1,            7.0,           33.1,            1.3,            4.5,            1.7,            2.7,            2.9, ,,,,
Arizona ,           51.5,           60.7,           52.9,           19.2,           19.5,            0.3,            1.7,           26.0,           24.4,           25.2,            0.1, ,,,
Arkansas ,            8.1,           58.0,           64.9,           36.1,           52.7,            0.8,           18.0,            2.8,            4.7,            4.4, ,,,,
California ,          136.6,          147.3,          152.5,          113.6,           92.0,           12.3,           21.6,            0.7,           15.0,           17.8, ,,,,
Caribbean ,           11.4,           12.6, ,,,           0.1,            0.1,            0.1, ,,,,,,
Colorado ,           87.3,           80.6,           78.6,           50.1,           72.7,            9.0,           47.8,           32.2,           42.5,           22.8,            0.2, ,,,
Connecticut ,           14.2,           74.3,           75.7,          115.6,           32.6,            7.4,           17.3,            6.1,            5.7,            3.3, ,,,,
Delaware ,            4.2,            0.1,            8.3,           12.2,           13.3,            0.1,            2.1, ,,,,,,,
Florida ,          114.2,          140.3,          249.8,           84.5,           83.1,            3.9,            0.5,            2.9, ,,,,,,
Georgia ,           23.2,           36.5,           28.7,            0.8,            4.2,            0.3,            0.4,            0.1, ,           6.2,           -4.3, ,,,
Hawaii/Pacific ,            6.8,           97.1,           99.5,          175.0,          113.2,            7.6,           12.9,            0.1,            7.8,            5.4, ,,,,
Idaho ,           38.9,           33.6,          751.3,          217.4,          324.5,          123.1,           67.3,           55.6,           39.9,           20.7,            0.3, ,,,
Illinois ,            1.7,           12.4,           63.2,           27.1,           88.7,            6.9,           20.5,           -1.1,            2.9,            3.1, ,,,,
Indiana ,           46.3,           32.1,           43.5,           42.9,           42.2,            4.3,            2.2,            2.0,            3.5,            0.3, ,,,,
Iowa ,           77.7,           83.8,           89.7,           52.6,           45.4,            0.8,           22.6,          146.4,           17.5,           20.5, ,,,,
Kansas ,          118.6,          120.4,           97.5,          292.7,          125.4,           14.5,           61.6,           20.6,           27.7,           30.9,            0.9,           45.2,            2.8, ,
Kentucky ,           55.9,           60.3,           56.7,           68.9,           27.5,            1.4,            9.4,           37.7,            0.4,            6.7, ,,,,
Louisiana ,           25.0,           24.0,           24.6,            4.7,            1.0,            0.5,            0.5,            2.3,            3.2,            3.4,            0.1, ,,,
Maine ,           13.9,           15.7,           15.7,            0.0,            1.0,            0.2,            0.2,            0.1, ,,,,,,
Maryland ,            2.2,           17.7,           17.7, ,           4.7,            0.1,            0.2,            0.1,            0.9,            0.8, ,,,,
Massachusetts ,           13.5,           20.7,           14.9,            2.7,           43.3,            2.6,            4.4,           -0.8, ,,,,,,
Michigan ,           60.8,           57.5,           66.4,           14.5,           17.4,            0.3,            0.3,            0.2, ,,,,,,
Minnesota ,           47.0,           53.3,           14.8,           20.5,           61.9,           29.3,           13.3,            3.1,            9.2,            9.7, ,,,,
Mississippi ,           55.3,           47.7,           87.0,           32.5,           40.8,            5.1,            0.4,           16.0,            9.9,           -1.8,            1.4, ,,,
Missouri ,          124.9,          148.1,          167.8,          100.4,           36.5,            3.0,            0.8,           10.4,            0.2, ,,,,,
Montana ,          143.1,          142.8,          142.9,          123.3,          123.3,            4.7,           39.4,           73.0,           37.4,           10.6, ,,,,
Nebraska ,           79.6,           92.8,           92.2,           60.4,           22.5,            0.5,            2.2,            0.4,            4.7,            0.9,           -0.2, ,,,
Nevada ,            2.0,           16.4,           51.3,          100.6,          263.5,           35.8,           40.8,            5.2,            3.0,            3.1, ,,,,
New Hampshire ,           14.4,            9.3,            8.9,           16.2,            5.4,            0.1,            5.4,           -5.3, ,,,,,,
New Jersey ,           11.1,           10.8,           13.8,            5.0,            6.3,            0.1,            0.1,            1.0,            1.7,            1.0, ,,           1.3, ,
New Mexico ,          167.3,          181.0,          105.7,           46.7,           53.8,           11.3,            9.4,            0.2, ,          30.3,           -0.3, ,,,
New York ,           33.5,           87.6,           86.8,           24.9,           22.4,            0.3,            4.5,            5.1,            1.6, ,,,,,
North Carolina ,           26.9,            2.9,            9.1,           21.5,           21.2,            0.3,            0.4,            0.2, ,           1.6, ,,,,
North Dakota ,           78.7,           86.0,          124.0,           67.9,            9.1,            0.4,            0.5,            0.2,            3.5,            5.4, ,,,,
Ohio ,           64.8,           68.9,           51.1,           11.0,           12.2,            0.3,            0.4,            0.2, ,,,,,,
Oklahoma ,          151.1,          149.9,          202.0,           74.9,           67.3,           12.6,           50.6,            9.9, ,,,,,,
Oregon ,           46.7,           49.3,           60.6,         -174.3,           55.8,           18.2,            0.8,            0.3, ,           1.5, ,,,,
Pennsylvania ,           56.9,           66.0,           57.6,           59.3,           28.2,            3.0,            0.3,            1.2,            4.6,            3.4, ,,           3.8, ,
Rhode Island ,            4.7,            0.1,            0.2,           27.7,           26.8,            1.1,           16.9,            1.0,            1.1,            0.9, ,,,,
South Carolina ,           25.5,           12.3,           17.7,            9.7,          305.3,           44.9,           37.6,            1.1,            2.1, ,,,,,
South Dakota ,          128.0,          147.8,          279.7,          186.0,          129.2,            6.0,           84.9,           43.4,            8.0,           25.1, ,,,,
Tennessee ,           79.2,           77.0,           74.8,           34.6,           75.1,           47.3,            1.5,            1.0,           11.5,            7.4,            3.3, ,,,
Texas ,          333.5,          371.3,          371.3,          796.2,          684.6,          156.5,          132.6,           33.5,           33.5,           18.2,           -3.8, ,,,
Utah ,           35.3,           36.4,          206.6,          103.9,          232.4,           19.9,            0.4,           15.3,           38.0,           43.5, ,           1.2, ,,
Vermont ,           13.1,           15.8,           14.3,           17.0,           13.7,            0.1,            0.1,            2.8,            1.0,            1.1, ,,,,
Virginia ,           53.9,           61.3,           64.1,           49.4,           53.0,           17.3,           16.8,            7.4,            8.4,            7.3, ,,,,
Washington ,           47.2,           53.0,           45.1,           24.1,           23.5,            0.5,            8.9,            9.2,            3.1,            7.1, ,,,,
West Virginia ,           32.9,           38.5,           38.1,           41.4,           43.1,           21.0,           26.3,            6.7,            6.1,            5.4, ,,,,
Wisconsin ,           67.2,           59.1,           57.2,          123.1,           90.7,           10.4,            0.3,            0.2,           14.5,           13.5, ,,,,
Wyoming ,           67.2,           81.6,          904.4,          341.4,          412.2,           17.8,           33.7,          -10.7,           27.9,            9.7,           25.7,            1.5, ,,
Other,         3669.6,         3263.6,         2174.9,         2350.9,         1965.3,          139.7,         1106.4,         1032.0,         4266.6,         1080.8,           24.4,         5519.6,         6750.3,         4337.0,
Total,         6615.6,         6700.6,         7646.8,         6064.9,         6163.6,          806.3,         1968.7,         1620.6,         4699.8,         1461.1,           47.8,         5567.5,         6758.2,         4337.0,

GRP Financial Assistance Obligations by Fiscal Year
In thousands of dollars

Division, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022,
Alabama ,            5.2,            3.5,           13.7,           67.4,            8.8, ,          17.3,            3.3, ,,,,,,
Arizona ,            2.5,           23.7,            3.0,           30.3, ,           1.6,           19.2,            1.8, ,,,,,,
Arkansas , ,           9.8, ,          75.3,            9.7, ,,,,,,,,,
California , ,,           1.5,          172.6,            3.0,            8.2, ,           6.6, ,,,,,,
Colorado ,           22.4,           64.0,           89.3,           38.4,           12.8,          174.7, ,          13.5,           22.5,            0.8, ,,,,
Connecticut ,            7.5,          755.0,           71.9,            2.8,           12.8, ,,,,,,,,,
Delaware , ,,           4.1, ,           4.3, ,,,,,,,,,
Florida ,           30.3,          189.7,          287.3,           37.3,           27.4, ,,,,,,,,,
Georgia , ,,          40.0, ,,,,,,,,,,,
Hawaii/Pacific , ,          12.0,           18.0,            2.5, ,,,,,,,,,,
Idaho ,            2.2,           23.7,         3876.6,         1020.6,           39.9,          101.8, ,           3.1, ,,,,,,
Illinois , ,          27.7,           39.9,           11.9,           36.6, ,           0.2, ,,,,,,,
Indiana ,            4.8,           11.9,           23.2,           11.9, ,,,,,,,,,,
Iowa ,            3.9,           93.1,          293.2,          108.2,            5.3, ,,,,,,,,,
Kansas , ,         381.5,          132.1,          247.3,           80.4,            7.7, ,,          12.6, ,,,,,
Kentucky ,            1.0,           11.3,          107.1,           66.6,            1.7, ,          30.2, ,,,,           5.3, ,,
Louisiana , ,          42.3,           46.6,           44.0, ,,,,,,,,,,
Maryland ,            4.8,            9.1, ,,,,,,,,,,,,
Michigan ,           16.9,           35.9,           23.6,            5.7,            9.2,            1.5, ,,,,,,,,
Minnesota , ,,,          20.4,            1.7, ,,,,,,,,,
Mississippi ,           41.9,            9.6,           28.5, ,          11.9, ,,,,,,,,,
Missouri ,           16.6,           70.2,           76.6,           31.5,           17.6, ,,,,,,,,,
Montana ,            6.7,           33.4, ,          32.2,           50.4,           77.7,           21.1, ,,,,,,,
Nebraska , ,,           2.5,           10.6, ,,,,,,,,,,
Nevada , ,,,          64.6,           17.5,           97.3, ,,,,,,,,
New Hampshire ,            7.5,            4.0,           43.7, ,,,,,,,,,,,
New Jersey , ,,,           3.5,            8.8, ,,,          15.0, ,,,,,
New Mexico ,           65.0,           35.7,           30.0,           36.4,           23.0, ,,,,,,,,,
New York , ,          34.6,           94.1,           43.4,            2.0, ,,,,,,,,,
North Carolina , ,,           1.5, ,,,,,,,,,,,
Ohio ,            5.1,           61.2,          110.2,           22.0, ,,,,,,,,,,
Oklahoma ,            1.4,           29.1,           23.0,            2.7,           47.4, ,          10.0,            4.2, ,,,,,,
Oregon , ,,,,          17.9, ,,,,,,,,,
Pennsylvania , ,          67.1,           31.4,            6.1,           55.3, ,,,,,         174.2,            7.1,           66.1, ,
Rhode Island , ,,          21.0, ,          18.0, ,           1.7, ,,,          -0.2, ,,,
South Carolina , ,          28.0,           34.0,           34.7,           40.8,            8.5, ,,,,,,,,
South Dakota ,            9.2,          153.8,          327.1,          139.4,           41.3,           83.6, ,           0.1, ,,,,,,
Tennessee ,            4.6,           22.3,           48.2,            4.0,            4.0,           12.0,            3.5, ,,,,,,,
Texas , ,         399.8,         1089.0,          565.6,          114.9,            1.3,            1.4, ,,,,,,,
Utah , ,,          21.7,           43.1,           36.0,           38.9, ,,,,,,,,
Vermont ,            3.3,           79.8,            9.2,           58.0,            2.1, ,,,,,,,,,
Virginia , ,         112.2,          132.8,           28.5,           15.4,           20.3, ,,         100.3, ,,,,,
Washington ,           22.7,           12.0,           13.7,           19.7,           44.7, ,,           2.4,            1.6, ,,,,,
West Virginia , ,         247.4,           42.2,            2.9,            9.7,            4.2, ,,,,,,,,
Wisconsin , ,           2.3,           31.5,           67.5,           13.9,            3.5,            0.6, ,,,,,,,
Wyoming , ,         136.0,          260.0,          108.5,           12.5,            3.1, ,,,,,,,,
Other,        40757.0,        90175.1,        62755.1,        55911.0,        55835.6, ,        4877.0,          103.0,          103.3, ,,,,,
Total,        41042.5,        93407.7,        70298.0,        59199.5,        56694.3,          646.1,         4982.1,          138.0,          255.4,            0.8,          174.0,           12.4,           66.1, ,


Conservation Practice Implementation Report

Land Unit Acres Receiving Conservation (including practice count) by Fiscal Year
GRP Practices

State,2009 Acres, 2009 Count, 2010 Acres, 2010 Count, 2011 Acres, 2011 Count, 2012 Acres, 2012 Count, 2013 Acres, 2013 Count, 2014 Acres, 2014 Count, 2015 Acres, 2015 Count, 2016 Acres, 2016 Count, 2017 Acres, 2017 Count, 2018 Acres, 2018 Count, 2019 Acres, 2019 Count, 2020 Acres, 2020 Count, 2021 Acres, 2021 Count, 2022 Acres, 2022 Count,
Alabama ,           1259,             60,            889,             62,            671,             25,            212,             23,            323,             26,           6734,            136,            345,            160, ,,           357,              1, ,,,,            43,              1, ,,            30,              9,
Alaska , ,,,,           103,              4,            147,              1, ,,,,,,,,,,,,,,,,,,           336,              5,
Arizona , ,,,,          1046,              2,          10690,             11,          26866,             23,          42849,            104,          42374,             96,          23663,             51,           9242,             41, ,,          6468,             28, ,,          3490,             14,           4214,             19,
Arkansas , ,,           302,             13,            135,              2,            116,              7,            451,             29,             35,              1, ,,           192,             22,            143,              8,            150,             23,            150,             21,            150,             15, ,,,,
California ,           8693,             29,          19128,             23,          21763,             45,           4282,             25,           4605,              4,           1035,             24,            335,              9,            105,              2,            335,              9, ,,,,,,,,,,
Caribbean ,            258,              3, ,,           372,             15, ,,,,           183,             98,            183,             15, ,,            16,              1, ,,,,,,,,,,
Colorado ,           3286,             16,           4701,             22, ,,          2750,              1,           1340,              5,           1399,              2,          10253,             22,           4427,             12,           3734,              7,           2971,             34,           2750,              1, ,,,,,,
Connecticut ,              7,              8,            347,             59,            119,             25,             62,             13,            147,             38, ,,,,            28,              3, ,,,,,,,,,,,,
Florida , ,,,,           171,              2,            171,              2, ,,,,,,,,,,,,,,,,,,,,
Georgia ,           3173,            322,           2608,            250,           1607,            260,           2852,            396,           2042,            352,           1560,            251,             85,             20,             34,              1, ,,            89,             22, ,,            25,              1, ,,            29,              8,
Hawaii/Pacific , ,,,,,,,,          1381,              4, ,,           801,              2,            801,              1,            394,             12, ,,           394,             12, ,,,,,,
Idaho ,            808,             28,            475,              4,             98,              3, ,,          1278,              3, ,,,,,,,,,,,,,,,,,,
Indiana ,            162,             10,             52,              4,            642,             94, ,,            27,              1,             18,              4, ,,,,,,,,,,,,,,,,
Iowa ,            775,              2,            199,              5,            632,             33,            697,             23,            450,             14,            177,              3, ,,           296,             46,            466,            112,             49,              4,            194,              2,             18,              2,            305,             23,             61,              6,
Kansas ,             48,              1,           2977,             48,            235,              8,           1357,             26,            807,              4,           1418,              4,            161,              1, ,,,,,,,,,,,,,,
Kentucky ,            331,             23,             62,             10,            399,             35,              7,              9,            153,             24,            153,             14,            287,             22, ,,,,,,,,,,,,,,
Louisiana ,             40,              1,            965,            136,            799,             60,            144,             14,            418,             27,             69,              7,            149,             14, ,,           149,             14,            576,            287, ,,,,,,,,
Maine , ,,           137,              8, ,,            44,              1, ,,,,,,,,,,,,,,,,,,,,
Massachusetts ,            139,             16, ,,            55,             14,            134,             26,             80,              8,              6,             16,             17,             15,             11,              1, ,,,,,,,,,,,,
Michigan ,            808,             52,            564,             36,            294,             16,            330,             17,            195,             11, ,,,,,,            77,             25, ,,,,,,,,,,
Minnesota , ,,           819,              2, ,,            40,              1,            154,             17, ,,,,,,,,            88,              3, ,,,,,,,,
Mississippi ,            103,             19,              4,              1,            474,            113,            729,             46,            378,             10,            434,             53,             11,              8, ,,,,           280,            117, ,,,,            66,              2, ,,
Missouri ,            608,             67,           1938,            273,           1696,            329,           1902,            215,             91,              8,             42,              9,            157,              5,            167,             20,             30,              1, ,,            86,              6,            315,            680,             24,              1,              2,              1,
Montana , ,,         29986,             45, ,,          2443,              3,          36982,             70, ,,          5568,             14, ,,,,,,          3124,              5,           3983,             30, ,,,,
Nebraska ,            713,              5,           1076,             17, ,,           254,              6,            126,              2, ,,,,,,,,          4116,             92, ,,,,,,           566,              4,
Nevada , ,,           486,              1, ,,,,           611,             11, ,,          4511,             52,           4138,             63,           4151,             49, ,,,,,,,,,,
New Hampshire , ,,,,,,            21,              2, ,,,,,,,,,,,,,,,,,,,,
New Jersey , ,,            22,              1,             22,              2,             51,              9,              9,              8, ,,,,,,,,,,,,,,,,,,
New Mexico , ,,          4252,             32,           8036,              3,           2273,             51, ,,          2273,             44,           2317,             27,           1324,             10,           1325,              1, ,,,,,,,,,,
New York ,             30,              1,             29,              2,            364,             29,             88,              9,             89,             20,            104,              7,            207,             15,             87,              5,            225,             18,              7,              3, ,,,,,,,,
North Dakota , ,,           302,             18, ,,           300,              2,            433,              3,           8906,              9,           2481,              9,            433,              3, ,,           433,              6, ,,,,,,,,
Ohio ,             83,              6,            845,             83,            947,             35,            217,              6,             78,              5,            377,             50,             76,              4, ,,,,,,,,,,,,,,
Oklahoma ,          10842,             78,           7773,             69,            379,              9,          11932,             93, ,,           317,              7,           2937,             14, ,,,,           926,              2,            169,              2, ,,,,,,
Oregon , ,,,,,,            39,              6,            965,             27,           2870,              6,           2259,             22, ,,           640,              2,            640,              2, ,,,,          6629,             66,           6621,             34,
Pennsylvania ,            340,             20,             59,             13,            315,             27, ,,,,,,,,            19,              1, ,,            42,              1,            112,              4, ,,,,,,
South Carolina , ,,           410,             32,             41,              1, ,,            28,              1, ,,,,,,,,,,,,,,,,,,
South Dakota , ,,            50,              1, ,,,,           216,              5, ,,          7560,             33, ,,,,           354,              6,            389,             18,            656,             13, ,,,,
Tennessee ,           2405,            372,           3031,            239,           4695,            425,           3468,            546,           2924,            248,           3312,            266,           1811,            134,           1097,            117,           1169,            146,            511,             32,            201,             15, ,,            36,              2,            256,            100,
Texas ,           2634,             71,           8924,             83,          38324,            173,          14364,            129,          17348,            103,          31745,            104,           5840,             27,            207,              7,          12376,             49,           1364,              2,          10031,             16,           2574,              5,           2406,              9,            622,              2,
Utah ,           3576,             30,           4592,             29,           3518,             16,          12914,             20,          10277,             46,            169,              4, ,,,,,,,,         11486,              4,          11487,              5, ,,           698,             29,
Vermont ,            127,             21,             59,              8, ,,            48,              1, ,,,,,,,,,,,,,,,,,,,,
Virginia ,             70,             10,             44,             13,             76,             13,             12,              1,            119,             21,              3,              1, ,,,,,,,,,,,,,,,,
Washington ,            320,              1,            168,              6,            503,              3,           4021,            181,            841,              7, ,,,,           270,              1,            559,             11,           4660,            185, ,,,,,,,,
West Virginia ,             31,              5, ,,            15,              1, ,,          1396,            251,           1393,            238,           1469,            259, ,,            37,              3, ,,           120,             10, ,,,,,,
Wisconsin ,            135,              2,             37,              1, ,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming , ,,         15381,             21,            175,              1, ,,,,,,,,,,,,,,,,,,           985,             57, ,,
Total,          41803,           1279,         113689,           1670,          88723,           1823,          79110,           1922,         113625,           1436,         107577,           1462,          92193,            999,          37300,            366,          35426,            510,          17256,            821,          35674,            144,          19252,            752,          13941,            174,          13436,            217,


Land Unit Acres Receiving Conservation by Practice

Land Unit Acres Receiving Conservation (including practice count) by Fiscal Year
GRP Fish and Wildlife Habitat Practices

Practice Name, Practice Code,2009 Acres, 2009 Count, 2010 Acres, 2010 Count, 2011 Acres, 2011 Count, 2012 Acres, 2012 Count, 2013 Acres, 2013 Count, 2014 Acres, 2014 Count, 2015 Acres, 2015 Count, 2016 Acres, 2016 Count, 2017 Acres, 2017 Count, 2018 Acres, 2018 Count, 2019 Acres, 2019 Count, 2020 Acres, 2020 Count, 2021 Acres, 2021 Count, 2022 Acres, 2022 Count,
Access Control , 472 ,            177,              2,            410,             16,            384,             11, ,,            26,              1,            637,              7,            280,              3,            110,              4,            230,              2, ,,,,,,,,,,
Conservation Cover , 327 ,            831,              5,            597,             18,            652,             24,            218,              9,            577,             14, ,,,,           146,              5,           1221,             62,             49,              3,            219,              3, ,,          6096,             20,            367,              7,
Early Successional Habitat Development/Management , 647 ,             63,             11,             28,              2, ,,           122,              9,            293,              7, ,,            10,              3, ,,,,,,,,,,,,,,
Restoration and Management of Rare or Declining Habitats , 643 ,            152,              4,            656,             16,            439,             12,            265,              4, ,,,,,,,,,,,,,,,,,,,,
Riparian Forest Buffer , 391 ,             27,              3, ,,,,,,,,,,,,,,,,,,,,,,,,,,
Riparian Herbaceous Cover , 390 ,             27,              3,              9,              1, ,,,,,,,,,,,,,,,,,,,,,,,,
Shallow Water Development and Management , 646 , ,,,,,,             2,              1, ,,,,,,,,,,,,,,,,,,,,
Upland Wildlife Habitat Management , 645 ,          18654,            149,          42075,            214,          38706,            174,          23937,            198,          26611,             60,          53242,            112,          52453,            122,          27550,             68,          30324,             75,          17685,             85,          14258,             24,           4995,            139,          30970,             69,          18935,             30,
Wetland Enhancement , 659 ,             27,              3, ,,,,,,,,,,,,,,,,,,,,,,,,,,
Wetland Wildlife Habitat Management , 644 ,             65,              5, ,,,,,,,,,,,,,,,,,,,,,,,,,,

Land Unit Acres Receiving Conservation (including practice count) by Fiscal Year
GRP Fish and Wildlife Habitat Practices

,2009 Acres, 2009 Count, 2010 Acres, 2010 Count, 2011 Acres, 2011 Count, 2012 Acres, 2012 Count, 2013 Acres, 2013 Count, 2014 Acres, 2014 Count, 2015 Acres, 2015 Count, 2016 Acres, 2016 Count, 2017 Acres, 2017 Count, 2018 Acres, 2018 Count, 2019 Acres, 2019 Count, 2020 Acres, 2020 Count, 2021 Acres, 2021 Count, 2022 Acres, 2022 Count,
